ru,moscow,Moscow,48,10381288,55.752222,37.615556
ru,saint petersburg,Saint Petersburg,66,4039751,59.894444,30.264167
ru,novosibirsk,Novosibirsk,53,1419016,55.0415,82.9346
ru,ekaterinburg,Ekaterinburg,71,,56.8519,60.6122
ru,nijnii novgorod,Nijnii Novgorod,51,,56.326944,44.0075
ru,kazan,Kazan,52,,58.543459,33.054377
ru,chelyabinsk,Chelyabinsk,13,1062931,55.154444,61.429722
ru,omsk,Omsk,54,1129289,55,73.4
ru,samara,Samara,13,,54.916667,60.916667
ru,rostov-na-donu,Rostov-na-Donu,61,1074495,47.23135,39.723284
ru,oufa,Oufa,08,,54.785167,56.045621
ru,perm,Perm,39,,56.659167,93.028056
ru,voronezh,Voronezh,86,840590,51.672035,39.184301
ru,volgograd,Volgograd,84,1010331,48.71939,44.501835
ru,krasnodar,Krasnodar,38,649860,45.0488,38.9725
ru,saratov,Saratov,67,863734,51.540556,46.008611
ru,vladivostok,Vladivostok,59,587029,43.128056,131.901111
ru,krasnoyarsk,Krasnoyarsk,39,71357,56.1124,94.5985
ru,tyumen,Tyumen,78,519124,57.152222,65.527222
ru,irkutsk,Irkutsk,20,586702,52.297778,104.296389
ru,khabarovsk,Khabarovsk,30,578307,48.480833,135.092778
ru,volgograd,Volgograd,84,1010331,48.71939,44.501835
ru,tolyatti,Tolyatti,65,718495,53.5303,49.3461
ru,izhevsk,Izhevsk,80,631044,56.849756,53.204479
ru,barnaul,Barnaul,04,599586,53.360556,83.763611
ru,ulyanovsk,Ulyanovsk,81,640685,54.328241,48.38657
ru,yaroslavl,Yaroslavl,88,606735,57.61977,39.85536
ru,makhachkala,Makhachkala,17,497967,42.976378,47.502356
ru,tomsk,Tomsk,75,485523,56.494167,84.974167
ru,orenburg,Orenburg,55,,51.7227,55.3637
ru,kemerovo,Kemerovo,29,477096,55.333333,86.083333
ru,novokuznetsk,Novokuznetsk,29,539622,53.7557,87.1099
ru,ryazan,Ryazan,62,520177,54.6269,39.6916
ru,astrakhan,Astrakhan,07,502537,46.349683,48.040756
ru,naberezhnyye chelny,Naberezhnyye Chelny,73,,55.725451,52.411221
ru,penza,Penza,57,512607,53.200656,45.004643
ru,lipetsk,Lipetsk,43,515659,52.603111,39.570762
ru,kirow,Kirow,33,,58.596654,49.660068
ru,cheboksary,Cheboksary,16,446786,56.132222,47.251944
ru,tula,Tula,53,,54.5929,82.7002
ru,kaliningrad,Kaliningrad,47,,55.914167,37.825556
ru,balashikha,Balashikha,47,150105,55.809452,37.958055
ru,kursk,Kursk,41,409435,51.737329,36.187349
ru,ulan-ude,Ulan-Ude,11,360281,51.826053,107.609794
ru,stavropol,Stavropol,70,363069,45.0428,41.9734
ru,sevastopol,Sevastopol,25,,53.455924,35.188005
ru,tver,Tver,77,400216,56.860491,35.876027
ru,magnitogorsk,Magnitogorsk,13,413357,53.418611,59.047222
ru,sochi,Sochi,38,327613,43.599167,39.725689
ru,ivanovo,Ivanovo,21,420843,56.997192,40.971392
ru,bryansk,Bryansk,70,,45.590556,43.335556
ru,belgorod,Belgorod,09,345293,50.610743,36.580152
ru,surgut,Surgut,65,4699,53.924983,51.203476
ru,nizhnii tagil,Nizhnii Tagil,71,,57.919444,59.965
ru,vladimir,Vladimir,83,310027,56.136547,40.396576
ru,archangelsk,Archangelsk,06,,64.5401,40.5433
ru,chita,Chita,93,308294,52.031712,113.500867
ru,kaluga,Kaluga,25,338982,54.529302,36.275415
ru,smolensk,Smolensk,69,320994,54.7818,32.0401
ru,volzhskiy,Volzhskiy,84,323298,48.785832,44.77973
ru,kurgan,Kurgan,40,343132,55.45,65.333333
ru,orel,Orel,56,333310,52.965076,36.078495
ru,cherepovets,Cherepovets,85,311854,59.133333,37.9
ru,vologda,Vologda,85,294892,59.2187,39.8886
ru,saransk,Saransk,46,303397,54.1838,45.1749
ru,vladikavkaz,Vladikavkaz,68,317372,43.036667,44.667778
ru,yakutsk,Yakutsk,63,,62.033889,129.733056
ru,murmansk,Murmansk,49,319266,68.979174,33.092514
ru,podolsk,Podolsk,47,175326,55.424185,37.554717
ru,tambov,Tambov,72,290936,52.731689,41.443262
ru,groznyy,Groznyy,10,,52.625647,33.118249
ru,sterlitamak,Sterlitamak,08,267235,53.624619,55.950148
ru,petrozavodsk,Petrozavodsk,28,265027,61.796131,34.349295
ru,kostroma,Kostroma,37,277658,57.766468,40.926864
ru,nizhnevartovsk,Nizhnevartovsk,32,244940,60.9344,76.5531
ru,novorossiysk,Novorossiysk,38,241860,44.724386,37.767524
ru,joschkar-ola,Joschkar-Ola,45,,56.636944,47.871111
ru,taganrog,Taganrog,61,279060,47.23617,38.896878
